"","i","train","val"
"1",1,0.197945486499067,0.242491262402649
"2",2,0.197152632151571,0.2443510707542
"3",3,0.00731238774081342,0.0106214141310888
"4",4,0.00824937839649379,0.0122872208797793
"5",5,0.00522868018949602,0.00723983787424378
"6",6,0.0061374517897998,0.00952394198411383
"7",7,0.00656520292090819,0.011696594944707
"8",8,0.00756935602857931,0.013189086417263
"9",9,0.00806479554383046,0.016196131227718
"10",10,0.00932936511240583,0.0213943702632209
"11",11,0.0102586361377011,0.0260216185866535
"12",12,0.0110308813559032,0.0277317982728649
"13",13,0.011992950674521,0.065486984931422
"14",14,0.0134633715259073,0.0435485565894577
"15",15,0.0120962360468195,0.0460615472087737
"16",16,0.0137848054746279,0.0697361122912581
"17",17,0.0156093768908518,0.0803502475108491
"18",18,0.0161418540225388,0.114740732208206
"19",19,0.0170783258315441,0.128665601263551
"20",20,0.0173959435179266,0.432311126399064
